symbol,best_hyperparameters,best_time_steps,mse,mae,mbe,msle,best_model_path
ACB,"{'model__units': 50, 'model__dropout_rate': 0.15, 'epochs': 20, 'batch_size': 32}",10,0.0008411114206648,0.0202141819490116,0.016791936,0.000310466,Models/best_ACB_rdsearch_model.h5
BID,"{'model__units': 50, 'model__dropout_rate': 0.15, 'epochs': 20, 'batch_size': 64}",10,0.0009227423716896,0.02329318862454,0.0173335876315832,0.0004077386402059,Models/best_BID_rdsearch_model.h5
CTG,"{'model__units': 50, 'model__dropout_rate': 0.15, 'epochs': 20, 'batch_size': 32}",10,0.0007492439684721,0.0200930688917099,-0.014350493,0.0003323685959912,Models/best_CTG_rdsearch_model.h5
FPT,"{'model__units': 50, 'model__dropout_rate': 0.2, 'epochs': 20, 'batch_size': 32}",20,0.0003308115227163,0.0134024979660148,-0.012700874,0.000176872301381,Models/best_FPT_rdsearch_model.h5
GVR,"{'model__units': 50, 'model__dropout_rate': 0.15, 'epochs': 20, 'batch_size': 32}",20,0.3130013009695259,0.4465698517473795,-0.44656986,0.1300025582313537,Models/best_GVR_rdsearch_model.h5
HDB,"{'model__units': 50, 'model__dropout_rate': 0.15, 'epochs': 20, 'batch_size': 64}",10,0.0004195239676397,0.0143075412072052,-0.001568961,0.0002074313088087,Models/best_HDB_rdsearch_model.h5
HPG,"{'model__units': 50, 'model__dropout_rate': 0.15, 'epochs': 20, 'batch_size': 64}",10,0.0004114068273399,0.0132518038477803,-0.002030775,0.0001755659322952,Models/best_HPG_rdsearch_model.h5
MBB,"{'model__units': 50, 'model__dropout_rate': 0.2, 'epochs': 20, 'batch_size': 32}",10,0.0003142853709547,0.0123653053484333,0.0015225713141262,0.000137216746225,Models/best_MBB_rdsearch_model.h5
MSN,"{'model__units': 50, 'model__dropout_rate': 0.15, 'epochs': 20, 'batch_size': 32}",20,0.0004567750345477,0.0157131678102721,-0.000996209,0.0002285160444444,Models/best_MSN_rdsearch_model.h5
MWG,"{'model__units': 50, 'model__dropout_rate': 0.15, 'epochs': 20, 'batch_size': 64}",10,0.0008081401809493,0.0196424348693068,-0.009600731,0.0003168841358274,Models/best_MWG_rdsearch_model.h5
NVL,"{'model__units': 50, 'model__dropout_rate': 0.2, 'epochs': 20, 'batch_size': 32}",20,0.0006784402704331,0.0159572702400159,-0.007759647,0.0003012047964148,Models/best_NVL_rdsearch_model.h5
PDR,"{'model__units': 50, 'model__dropout_rate': 0.15, 'epochs': 20, 'batch_size': 32}",10,0.0005616455838192,0.0133443696618743,-0.008397718,0.0002448706363793,Models/best_PDR_rdsearch_model.h5
PLX,"{'model__units': 50, 'model__dropout_rate': 0.15, 'epochs': 20, 'batch_size': 32}",20,0.0012118174145445,0.0233300587915678,-0.006027869,0.0005078823887743,Models/best_PLX_rdsearch_model.h5
POW,"{'model__units': 50, 'model__dropout_rate': 0.15, 'epochs': 20, 'batch_size': 64}",20,0.0019459372886737,0.0238039851634999,0.0019225100986659,0.0009656500769779,Models/best_POW_rdsearch_model.h5
SAB,"{'model__units': 50, 'model__dropout_rate': 0.2, 'epochs': 20, 'batch_size': 32}",10,0.0011806815280374,0.0242380024262457,-0.013862457,0.0005528531619347,Models/best_SAB_rdsearch_model.h5
